#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12524 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:42.23 aq:35.05 tex:5475 mv:10174 misc:4183 imb:398 pmb:695 smb:7067 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:42.11 aq:38.01 tex:336 mv:1707 misc:1125 imb:14 pmb:133 smb:8013 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:42.05 aq:39.73 tex:44 mv:91 misc:457 imb:1 pmb:7 smb:8152 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:42.17 aq:39.79 tex:174 mv:271 misc:563 imb:6 pmb:22 smb:8132 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:42.12 aq:35.92 tex:8069 mv:11842 misc:4753 imb:677 pmb:711 smb:6772 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:42.18 aq:39.69 tex:628 mv:2389 misc:1303 imb:19 pmb:194 smb:7947 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:42.20 aq:43.21 tex:106 mv:258 misc:548 imb:1 pmb:29 smb:8130 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:42.15 aq:38.77 tex:557 mv:1038 misc:733 imb:23 pmb:81 smb:8056 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:41.28 aq:35.47 tex:15572 mv:14055 misc:5381 imb:1040 pmb:772 smb:6348 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:41.70 aq:39.07 tex:966 mv:3420 misc:1734 imb:46 pmb:279 smb:7835 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:41.91 aq:38.48 tex:184 mv:980 misc:740 imb:6 pmb:85 smb:8069 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:41.49 aq:40.73 tex:350 mv:848 misc:778 imb:7 pmb:77 smb:8076 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:40.15 aq:34.41 tex:17005 mv:15904 misc:5827 imb:1119 pmb:915 smb:6126 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:40.71 aq:37.96 tex:1207 mv:3530 misc:1855 imb:60 pmb:279 smb:7821 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:41.00 aq:40.60 tex:324 mv:762 misc:794 imb:8 pmb:73 smb:8079 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:40.43 aq:39.04 tex:302 mv:806 misc:796 imb:7 pmb:87 smb:8066 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:39.07 aq:34.31 tex:16947 mv:15423 misc:5854 imb:973 pmb:1007 smb:6180 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:39.61 aq:36.80 tex:2020 mv:4389 misc:2591 imb:87 pmb:398 smb:7675 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:39.88 aq:37.06 tex:370 mv:996 misc:882 imb:14 pmb:88 smb:8058 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:39.34 aq:36.56 tex:480 mv:872 misc:928 imb:18 pmb:81 smb:8061 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:38.11 aq:34.29 tex:14203 mv:14575 misc:5918 imb:933 pmb:947 smb:6280 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:38.59 aq:34.60 tex:2618 mv:5224 misc:2942 imb:123 pmb:461 smb:7576 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:38.83 aq:36.40 tex:564 mv:668 misc:864 imb:11 pmb:73 smb:8076 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:38.35 aq:36.61 tex:754 mv:1261 misc:1065 imb:20 pmb:122 smb:8018 d:- ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:37.27 aq:34.92 tex:11373 mv:12360 misc:5555 imb:719 pmb:905 smb:6536 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:37.69 aq:35.96 tex:1584 mv:2193 misc:1479 imb:45 pmb:201 smb:7914 d:- ref:0 ;
in:59 out:59 type:I dur:2 cpbdur:2 q:33.90 aq:29.94 tex:382682 mv:92320 misc:334 imb:8160 pmb:0 smb:0 d:- ref:;
in:63 out:60 type:P dur:2 cpbdur:2 q:36.71 aq:33.34 tex:312776 mv:33027 misc:4725 imb:2952 pmb:1152 smb:4056 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:36.71 aq:35.23 tex:19002 mv:14273 misc:4853 imb:273 pmb:1434 smb:6453 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:36.71 aq:35.97 tex:3561 mv:4845 misc:2074 imb:69 pmb:501 smb:7590 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:36.71 aq:35.25 tex:11542 mv:7880 misc:3362 imb:144 pmb:965 smb:7051 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:36.02 aq:29.55 tex:506343 mv:55670 misc:2851 imb:5714 pmb:1640 smb:806 d:- ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:36.37 aq:35.92 tex:65940 mv:26853 misc:6807 imb:696 pmb:2596 smb:4868 d:- ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:36.54 aq:35.02 tex:11659 mv:8675 misc:3626 imb:209 pmb:965 smb:6986 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:36.19 aq:37.23 tex:6959 mv:4858 misc:2207 imb:100 pmb:546 smb:7514 d:- ref:0 ;
in:70 out:68 type:P dur:2 cpbdur:2 q:35.38 aq:26.29 tex:72597 mv:14320 misc:4475 imb:1054 pmb:939 smb:6167 d:- ref:0 ;
in:68 out:69 type:B dur:2 cpbdur:2 q:35.80 aq:31.63 tex:8145 mv:4897 misc:1966 imb:35 pmb:564 smb:7561 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:35.59 aq:32.32 tex:6220 mv:4044 misc:1720 imb:27 pmb:469 smb:7664 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:34.93 aq:25.26 tex:140467 mv:29209 misc:4476 imb:2611 pmb:1223 smb:4326 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:35.15 aq:30.30 tex:12767 mv:7470 misc:3435 imb:66 pmb:1110 smb:6984 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:35.26 aq:31.42 tex:5581 mv:4382 misc:1949 imb:28 pmb:550 smb:7582 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:35.04 aq:31.54 tex:3313 mv:3226 misc:2541 imb:13 pmb:708 smb:7439 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:34.36 aq:24.01 tex:135811 mv:27605 misc:5992 imb:2162 pmb:1703 smb:4295 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:34.64 aq:30.23 tex:5142 mv:5512 misc:3002 imb:19 pmb:852 smb:7289 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:34.78 aq:29.28 tex:1281 mv:2555 misc:2204 imb:29 pmb:560 smb:7571 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:34.50 aq:37.11 tex:746 mv:1600 misc:1382 imb:1 pmb:277 smb:7882 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:34.32 aq:24.71 tex:51874 mv:10864 misc:4582 imb:417 pmb:1109 smb:6634 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:34.34 aq:32.20 tex:6973 mv:6231 misc:1812 imb:35 pmb:551 smb:7574 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:34.35 aq:29.58 tex:1209 mv:2275 misc:1236 imb:7 pmb:246 smb:7907 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:34.33 aq:33.34 tex:3441 mv:3745 misc:1454 imb:19 pmb:346 smb:7795 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:34.22 aq:25.52 tex:64794 mv:12224 misc:3782 imb:460 pmb:1104 smb:6596 d:- ref:0 ;
